01JEA,5rkr/1QN5/4R3/p7/P1Pp4/1B1q3P/1P4P1/6K1 w - - 1 44,c4c5 f8f1 g1h2 h8h3 g2h3 f1f2 b7g2 f2g2 h2g2 d3b3,2323,78,94,4973,advantage middlegame sacrifice veryLong,https://lichess.org/rcwW2M7E#87,
01jRL,r5k1/4p1b1/p2qN1p1/1p1P3p/1Pp3b1/Q1N3P1/P4rBP/4R2K b - - 3 30,g7e5 c3e4 d6b6 e4f2 b6f2 e1e5 f2d2 a3e3,2320,76,94,2479,advantage discoveredAttack fork middlegame veryLong,https://lichess.org/Al6dfD6O/black#60,
02prq,5r2/1bq1k2Q/p3pr2/1p1n1pN1/5Pn1/8/PP4PP/3RRBK1 b - - 2 27,e7d6 e1e6 f6e6 h7c7 d6c7 g5e6 c7d7 e6f8,2454,76,94,1980,attraction crushing fork master middlegame pin veryLong,https://lichess.org/iK1ujUS7/black#54,
03BKg,1rbq1k1r/p1p3pp/2nbPpn1/3N4/3P4/2P2Q2/PP3PPP/R1B1R1K1 b - - 2 18,c6e7 f3f6 g7f6 c1h6 f8g8 d5f6,2588,85,95,2704,intermezzo long mate mateIn3 opening sacrifice,https://lichess.org/yChTknxk/black#36,Four_Knights_Game Four_Knights_Game_Halloween_Gambit
03jUK,4r2k/1b3Bpp/ppq2b1B/2p5/P2p2Q1/3P4/1PP2RPP/5rK1 w - - 0 28,g1f1 e8f8 f7b3 g7h6,2425,77,94,1216,crushing middlegame short,https://lichess.org/u2tVp1xp#55,
04eZ9,4kR2/1b1pb2p/pQ2N3/4P1rq/3n3P/8/PPP3P1/R6K b - - 6 25,e7f8 b6d8 e8f7 d8f6 f7g8 f6f8,2457,78,94,2863,long mate mateIn3 middlegame,https://lichess.org/sACmZ8xs/black#50,
04yi1,R7/7k/5K2/4P3/6r1/7p/8/8 w - - 0 51,a8a3 g4g6 f6f7 h3h2 a3h3 g6h6 h3h2 h6h2 e5e6 h2f2,2455,77,94,2660,advancedPawn crushing endgame master rookEndgame veryLong,https://lichess.org/PtwbtSfd#101,
05VnQ,8/8/pp1p1k1p/2pP2p1/2P1K1P1/1P5P/P7/8 w - - 0 45,e4e3 f6e5 a2a3 b6b5 e3d3 b5c4,2371,76,94,3123,crushing endgame long pawnEndgame zugzwang,https://lichess.org/g1bw2R9j#89,
07ACY,5nk1/q5b1/2Bp2bp/3Pp1p1/8/1P6/3N1RPP/3Q2K1 w - - 1 29,d1f3 e5e4 d2e4 g6e4 f3e4 a7a1 f2f1 g7d4 e4d4 a1d4,2517,84,95,1697,crushing middlegame veryLong,https://lichess.org/PPAm7sJX#57,
08Sdr,1r1r3k/5p1P/3R2pP/4qP2/PnP1P3/1P6/6Q1/1K4R1 w - - 0 38,f5g6 e5d6 g6f7 d6d3 b1b2 d3d2,2378,75,94,4310,crushing exposedKing long middlegame,https://lichess.org/TQXVl2Bh#75,
09NOE,8/4p2p/3k2p1/p7/1pK5/1P4PP/P1P5/8 w - - 0 37,c4b5 d6d5 b5a5 d5c5,2520,79,94,3217,crushing defensiveMove endgame pawnEndgame short,https://lichess.org/mw6bRAT9#73,
